,EntityCommonStockSharesOutstanding-0,MarketCap,splits,dividend,close,ghost
2006-09-24,,,,,,
2006-09-25,,,,,,
2006-09-26,,,,,,
2006-09-27,,,,,,
2006-09-28,,,,,,
2006-09-29,,,,,,
2006-09-30,,,,,,
2006-10-01,,,,,,
2006-10-02,24208660000.0,64723573982.28645,1.0,0.0,2.6735711097717285,
2006-10-03,24208660000.0,64049191762.24232,1.0,0.0,2.645714044570923,
2006-10-04,24208660000.0,65173173672.57118,1.0,0.0,2.692142963409424,
2006-10-05,24208660000.0,64697641310.4105,1.0,0.0,2.672499895095825,
2006-10-06,24208660000.0,64170232060.90927,1.0,0.0,2.6507139205932617,
2006-10-07,24208660000.0,64170232060.90927,1.0,0.0,2.6507139205932617,
2006-10-08,24208660000.0,64170232060.90927,1.0,0.0,2.6507139205932617,
2006-10-09,24208660000.0,64524724124.403,1.0,0.0,2.665357112884521,
2006-10-10,24208660000.0,63815745769.20986,1.0,0.0,2.636070966720581,
2006-10-11,24208660000.0,63314286506.967545,1.0,0.0,2.615356922149658,
2006-10-12,24208660000.0,65069414126.09577,1.0,0.0,2.687856912612915,
2006-10-13,24208660000.0,64861923892.11655,1.0,0.0,2.679286003112793,
2006-10-14,24208660000.0,64861923892.11655,1.0,0.0,2.679286003112793,
2006-10-15,24208660000.0,64861923892.11655,1.0,0.0,2.679286003112793,
2006-10-16,24208660000.0,65190460196.557045,1.0,0.0,2.692857027053833,
2006-10-17,24208660000.0,64230755096.13991,1.0,0.0,2.6532139778137207,
2006-10-18,24208660000.0,64438274189.09073,1.0,0.0,2.6617860794067383,
2006-10-19,24208660000.0,68294346483.979225,1.0,0.0,2.821070909500122,
2006-10-20,24208660000.0,69124365137.83932,1.0,0.0,2.8553569316864014,
2006-10-21,24208660000.0,69124365137.83932,1.0,0.0,2.8553569316864014,
2006-10-22,24208660000.0,69124365137.83932,1.0,0.0,2.8553569316864014,
2006-10-23,24208660000.0,70429916153.86009,1.0,0.0,2.90928602218628,
2006-10-24,24208660000.0,70075429862.16068,1.0,0.0,2.894643068313598,
2006-10-25,24208660000.0,70620125635.64777,1.0,0.0,2.917143106460572,
2006-10-26,24208660000.0,71061061862.65945,1.0,0.0,2.935357093811035,
2006-10-27,24208660000.0,69522093712.57782,1.0,0.0,2.871786117553711,
2006-10-28,24208660000.0,69522093712.57782,1.0,0.0,2.871786117553711,
2006-10-29,24208660000.0,69522093712.57782,1.0,0.0,2.871786117553711,
2006-10-30,24208660000.0,69530734088.67358,1.0,0.0,2.872143030166626,
2006-10-31,24208660000.0,70101356762.24231,1.0,0.0,2.895714044570923,
2006-11-01,24208660000.0,68441342541.69941,1.0,0.0,2.8271429538726807,
2006-11-02,24208660000.0,68285706107.88345,1.0,0.0,2.820713996887207,
2006-11-03,24208660000.0,67689133447.05582,1.0,0.0,2.796071052551269,
2006-11-04,24208660000.0,67689133447.05582,1.0,0.0,2.796071052551269,
2006-11-05,24208660000.0,67689133447.05582,1.0,0.0,2.796071052551269,
2006-11-06,24208660000.0,68916874903.86009,1.0,0.0,2.84678602218628,
2006-11-07,24208660000.0,69608537876.09576,1.0,0.0,2.875356912612915,
2006-11-08,24208660000.0,71285861707.80182,1.0,0.0,2.944643020629883,
2006-11-09,24208660000.0,72055357326.43127,1.0,0.0,2.976428985595703,
2006-11-10,24208660000.0,71865124757.46631,1.0,0.0,2.9685709476470947,
2006-11-11,24208660000.0,71865124757.46631,1.0,0.0,2.9685709476470947,
2006-11-12,24208660000.0,71865124757.46631,1.0,0.0,2.9685709476470947,
2006-11-13,24208660000.0,72928589404.35886,1.0,0.0,3.012500047683716,
2006-11-14,24208660000.0,73490565930.0375,1.0,0.0,3.0357139110565186,
2006-11-15,24208660000.0,72669216511.24478,1.0,0.0,3.00178599357605,
2006-11-16,24208660000.0,74017975179.53873,1.0,0.0,3.057499885559082,
2006-11-17,24208660000.0,74225471185.31227,1.0,0.0,3.066071033477783,
2006-11-18,24208660000.0,74225471185.31227,1.0,0.0,3.066071033477783,
2006-11-19,24208660000.0,74225471185.31227,1.0,0.0,3.066071033477783,
2006-11-20,24208660000.0,74761520810.90927,1.0,0.0,3.0882139205932617,
2006-11-21,24208660000.0,76603121452.52704,1.0,0.0,3.164285898208618,3.085800020098686
2006-11-22,24208660000.0,78081572339.17236,1.0,0.0,3.2253570556640625,3.1050863052606585
2006-11-23,24208660000.0,78081572339.17236,1.0,0.0,3.2253570556640625,3.109085729598999
2006-11-24,24208660000.0,79222840773.48709,1.0,0.0,3.2725000381469727,3.1240289716958998
2006-11-25,24208660000.0,79222840773.48709,1.0,0.0,3.2725000381469727,3.1274449702501297
2006-11-26,24208660000.0,79222840773.48709,1.0,0.0,3.2725000381469727,3.130022367453575
2006-11-27,24208660000.0,77415830495.224,1.0,0.0,3.197856903076172,3.1139089027881623
2006-11-28,24208660000.0,79378477207.30304,1.0,0.0,3.2789289951324463,3.1364870335102086
2006-11-29,24208660000.0,79369807972.23569,1.0,0.0,3.278570890426636,3.138926330184937
2006-11-30,24208660000.0,79248767673.56873,1.0,0.0,3.273571014404297,3.140155041050911
2006-12-01,24208660000.0,78954827504.27722,1.0,0.0,3.261429071426392,3.1395242352008816
2006-12-02,24208660000.0,78954827504.27722,1.0,0.0,3.261429071426392,3.14109822883606
2006-12-03,24208660000.0,78954827504.27722,1.0,0.0,3.261429071426392,3.142322663497925
2006-12-04,24208660000.0,78781904546.4754,1.0,0.0,3.254286050796509,3.14076804792881
2006-12-05,24208660000.0,78911590993.03246,1.0,0.0,3.259643077850342,3.1433640503168103
2006-12-06,24208660000.0,77666563012.24231,1.0,0.0,3.208214044570923,3.131765260791779
2006-12-07,24208660000.0,75254339697.05582,1.0,0.0,3.108571052551269,3.1080399815797803
2006-12-08,24208660000.0,76309158196.05827,1.0,0.0,3.1521430015563965,3.1200501519203185
2006-12-09,24208660000.0,76309158196.05827,1.0,0.0,3.1521430015563965,3.1206774369955066
2006-12-10,24208660000.0,76309158196.05827,1.0,0.0,3.1521430015563965,3.1206577605962753
2006-12-11,24208660000.0,76732807899.08409,1.0,0.0,3.169642925262451,3.125976671361923
2006-12-12,24208660000.0,74476221017.71355,1.0,0.0,3.0764288902282715,3.10280412709713
2006-12-13,24208660000.0,76992180792.19818,1.0,0.0,3.180356979370117,3.128788545203209
